ACCOUNT,SZÁMLA
HAWAII,HAWAII
HAWK,SÓLYOM
HEAD,FEJ
HEALTH,EGÉSZSÉG
HEART,SZÍV
HEAT,HŐ
HELICOPTER,HELIKOPTER
HELMET,SISAK
HELP,SEGÍTSÉG
HEN,TYÚK
HERCULES,HERKULES
HIDE,ELREJT
HILL,DOMB
HIMALAYAS,HIMALÁJA
HISTORY,TÖRTÉNELEM
HIT,TALÁLAT
HOBBY,HOBBI
HOLE,LYUK
HOLIDAY,ÜNNEP
HOLLYWOOD,HOLLYWOOD
HOME,OTTHON
HOMER,HOMÉROSZ
HONEY,MÉZ
HOOD,KAPUCNI
HOOK,HOROG
HOPE,REMÉNY
HORN,KÜRT
HORSE,LÓ
HORSESHOE,PATKÓ
HOSE,TÖMLŐ
HOSPITAL,KÓRHÁZ
HOT,FORRÓ
HOTEL,SZÁLLODA
HOUR,ÓRA
HOUSE,HÁZ
HUMOR,HUMOR
HYDRANT,TŰZCSAP
ICE,JÉG
ICELAND,IZLAND
ICICLE,JÉGCSAP
IDEA,ÖTLET
IGLOO,JÉGKUNYHÓ
IMPULSE,ÖSZTÖNZÉS
INCOME,JÖVEDELEM
INCREASE,EMELKEDÉS
INDIA,INDIA
INDUSTRY,IPAR
INK,TINTA
INSECT,ROVAR
INSTRUMENT,HANGSZER
INSURANCE,BIZTOSÍTÁS
INTEREST,ÉRDEKLŐDÉS
INVENTION,TALÁLMÁNY
IRON,VAS
ISLAND,SZIGET
IVORY,ELEFÁNTCSONT
JACK,CSATLAKOZÓ
JAIL,CELLA
JAM,LEKVÁR
JAR,BEFŐTT
JEANS,FARMERNADRÁG
JELLY,ZSELÉ
JELLYFISH,MEDÚZA
JET,VADÁSZGÉP
JEWEL,ÉKSZER
JEWELER,ÉKSZERÉSZ
JOAN,SZŰZ
JOCKEY,ZSOKÉ
JOIN,ÍZÜLET
JOKE,TRÉFA
JOKER,DZSÓKER
JOURNEY,UTAZÁS
JUDGE,BÍRÓ
JUICE,GYÜMÖLCSLÉ
JUMP,UGRÁS
JUMPER,RÚDUGRÓ
JUPITER,JUPITER
KANGAROO,KENGURU
KETCHUP,KETCHUP
KETTLE,KANNA
KEY,KULCS
KICK,RÚGÁS
KID,GYEREK
KILT,SZALAG
KING,KIRÁLY
KISS,CSÓK
KITCHEN,KONYHA
KITE,PAPÍRSÁRKÁNY
KITTEN,CICA
KIWI,KIWI
KNEE,TÉRD
KNIFE,KÉS
KNIGHT,LOVAG
KNOT,CSOMÓ
KNOWLEDGE,TUDÁS
KUNG FU,KARATE
LAB,LABOR
LABORER,MUNKÁS
LACE,CSIPKE
LADDER,LÉTRA
LADYBUG,KATICA
LAKE,TÓ
LAMP,LÁMPA
LAND,SZÁNTÓFÖLD
LANGUAGE,NYELVTAN
LAP,FORDULÓ
LASER,LÉZER
LAUGH,NEVETÉS
LAUNDRY,SZENNYES
LAWYER,JOGÁSZ
LEAD,ÓLOM
LEAF,FALEVÉL
LEARNING,TANULÁS
LEATHER,BŐR
LEG,LÁB
LEMON,CITROM
LEMONADE,LIMONÁDÉ
LEPRECHAUN,MANÓ
LETTER,LEVÉL
LETTUCE,KÁPOSZTA
LEVEL,SZINT
LIBRARY,KÖNYVTÁR
LIFE,ÉLET
LIFT,LIFT
LIGHT,FÉNY
LIGHTNING,VILLÁM
LIMIT,LIMIT
LIMOUSINE,LIMUZIN
LINE,VONAL
LINEN,LENN
LINK,HIVATKOZÁS
LION,OROSZLÁN
LIP,AJAK
LIQUID,FOLYÉKONY
LIST,LISTA
LITTER,SZEMÉT
LIZARD,GYÍK
LOAF,CIPÓ
LOCH,SKÓT
LOCK,ZÁR
LOCKET,KAPOCS
LOCUST,SÁSKA
LOG,NAPLÓ
LONDON,LONDON
LOOK,NÉZ
LOSS,VESZTESÉG
LOVE,SZERETET
LUCK,SZERENCSE
LUMBERJACK,FAVÁGÓ
LUNCH,EBÉD
LUNCHROOM,EBÉDLŐ
MACHINE,GÉP
MAGAZINE,MAGAZIN
MAGIC,MÁGIA
MAGICIAN,BŰVÉSZ
MAID,SZOBALÁNY
MAIL,POSTA
MAILBOX,POSTAFIÓK
MAKEUP,SMINK
MAMMOTH,MAMUT
MANAGER,MENEDZSER
MANICURE,MANIKŰR
MAP,TÉRKÉP
MAPLE,TOBOZ
MARATHON,MARATON
MARBLE,ÜVEGGOLYÓ
MARCH,MENET
MARK,JEL
MARKET,PIAC
MASK,MASZK
MASS,GYÜLEKEZET
MATCH,MÉRKŐZÉS
MEAL,ÉTKEZÉS
MEASURE,INTÉZKEDÉS
MEAT,HÚS
MEDIC,SZANITÉC
MEETING,TALÁLKOZÓ
MEMORY,MEMÓRIA
MERCURY,HIGANY
MESS,RENDETLENSÉG
METAL,FÉM
METER,MÉTER
MEXICO,MEXIKÓ
MICROSCOPE,MIKROSZKÓP
MICROWAVE,MIKROHULLÁM
MIDDLE,KÖZÉPSŐ
MILE,MÉRFÖLD
MILK,TEJ
MILL,MALOM
MILLIONAIRE,MILLIOMOS
MIND,ÉSZ
MINE,BÁNYA
MINISTER,MINISZTER
MINOTAUR,MINOTAURUSZ
MINT,MENTA
MINUTE,PERC
MIRROR,TÜKÖR
MISS,HIÁNY
MISSILE,RAKÉTA
MIST,HOMÁLY
MITTEN,TÖLTÉNY
MODEL,MODELL
MOHAWK,TARÉJ
MOLE,ANYAJEGY
MONEY,PÉNZ
MONKEY,MAJOM
MONTH,HÓNAP
MOON,HOLD
MORNING,REGGEL
MOSCOW,MOSZKVA
MOSES,MÓZES
MOSQUITO,SZÚNYOG
MOTHER,ANYA
MOTION,MOZGÁS
MOUNT,HÁTAS
MOUNTAIN,HEGY
MOUNTIE,PÓNI
MOUSE,EGÉR
MOUTH,SZÁJ
MOVE,KÖLTÖZÉS
MUD,SÁR
MUG,BÖGRE
MUMMY,MÚMIA
MUSCLE,IZOM
MUSIC,ZENE
MUSKETEER,MUSKÉTÁS
MUSTARD,MUSTÁR
NAIL,KÖRÖM
NAME,NÉV
NAPOLEON,NAPÓLEON
NATION,NEMZET
NECK,NYAK
NEED,SZÜKSÉG
NEEDLE,TŰ
NERVE,IDEG
NESS,SZÖRNY
NEST,FÉSZEK
NET,HALÁSZHÁLÓ
NEW,ÚJSÁG
NEWS,HÍR
NEWTON,NEWTON
NIGHT,ÉJSZAKA
NINJA,NINDZSA
NOAH,NOÉ
NOISE,ZAJ
NORTH,ÉSZAK
NOSE,ORR
NOTE,JEGYZET
NOTEBOOK,LAPTOP
NOTRE,TORONYŐR
NOVEL,REGÉNY
NUMBER,SZÁM
NURSE,ÁPOLÓ
NUT,DIÓ
NYLON,ZACSKÓ
OASIS,OÁZIS
OATMEAL,ZABPEHELY
OBSERVATION,MEGFIGYELÉS
OCEAN,ÓCEÁN
OCTOPUS,POLIP
OFFER,AJÁNLAT
OFFICE,HIVATAL
OIL,OLAJ
OLIVE,OLAJBOGYÓ
OLYMPUS,OLÜMPOSZ
ONION,HAGYMA
OPERA,OPERA
OPERATION,MŰVELET
OPINION,VÉLEMÉNY
ORANGE,NARANCS
ORDER,RENDELÉS
ORGAN,SZERV
ORGANIZATION,SZERVEZET
ORNAMENT,DÍSZ
OVEN,SÜTŐ
OWL,BAGOLY
OWNER,TULAJDONOS
PACIFIC,BÉKÉS
PAD,PÁRNA
PADDLE,EVEZŐ
PAGE,LAPOS
PAIN,FÁJDALOM
PAINT,FESTÉK
PALM,TENYÉR
PAN,LÁBAS
PANCAKE,PALACSINTA
PANTS,NADRÁG
PAPER,PAPÍR
PARACHUTE,EJTŐERNYŐ
PARADE,FELVONULÁS
PARCEL,CSOMAG
PARENT,SZÜLŐ
PARK,PARK
PARROT,PAPAGÁJ
PART,RÉSZ
PARTNER,PARTNER
PARTY,BULI
PASS,PASSZOLÁS
PASSENGER,UTAS
PASTE,TÉSZTA
PATCH,TAPASZ
PATIENT,PÁCIENS
PAYMENT,FIZETÉS
PEA,BORSÓ
PEACE,BÉKE
PEACH,ŐSZIBARACK
PEANUT,FÖLDIMOGYORÓ
PEAR,KÖRTE
PEARL,GYÖNGYSZEM
PEN,TOLL
PENCIL,CERUZA
PENGUIN,PINGVIN
PENTAGON,PARLAMENT
PENNY,FORINT
PEPPER,BORS
PEST,KÁRTEVŐ
PET,KEDVENC
PEW,PÁRA
PHOENIX,FŐNIX
PIANO,ZONGORA
PICKLE,UBORKA
PICTURE,KÉP
PIE,PITE
PIG,MALAC
PILLOW,PLÜSS
PILOT,PILÓTA
PIN,TŰLEVÉL
PINE,FENYŐ
PIPE,CSŐ
PIRATE,KALÓZ
PISTOL,PISZTOLY
PIT,GÖDÖR
PITCH,SZOPRÁN
PITCHER,KANCSÓ
PIZZA,PIZZA
PLACE,HELY
PLANE,SÍK
PLANT,NÖVÉNY
PLANTATION,ÜLTETVÉNY
PLASTIC,MŰANYAG
PLATE,LEMEZ
PLATYPUS,PULI
PLAY,SZÍNDARAB
PLAYGROUND,JÁTSZÓTÉR
PLEASURE,ÖRÖM
PLOT,CSELEKMÉNY
PLOUGH,EKE
POCKET,ZSEB
POINT,PONT
POISON,MÉREG
POLE,SAROK
POLICE,RENDŐR
POLISH,CSILLOGÁS
POLLUTION,KÖRNYEZET
POLO,PÓLÓ
POOL,MEDENCE
POP,PAP
POPCORN,APÁCA
PORT,STÉG
PORTER,HORDÁR
POSITION,HELYZET
POST,ÜZENET
POT,FAZÉK
POTATO,BURGONYA
POTTER,FAZEKAS
POUND,FONT
POWDER,PÚDER
POWER,ENERGIA
PRESS,SAJTÓ
PRICE,ÁR
PRINCESS,HERCEGNŐ
PRINT,NYOMDA
PRISON,BÖRTÖN
PROCESS,FOLYAMAT
PRODUCE,TERMELÉS
PROFIT,NYERESÉG
PROPERTY,INGATLAN
PROSE,PRÓZA
PROTEST,TILTAKOZÁS
PULL,HÚZÁS
PUMP,SZIVATTYÚ
PUMPKIN,TÖK
PUNISHMENT,BÜNTETÉS
PUPIL,TANÍTVÁNY
PUPPET,BÁB
PURPOSE,CÉL
PURSE,PÉNZTÁRCA
PUSH,NYOM
PYRAMID,PIRAMIS
QUACK,KURUZSLÓ
QUARTER,NEGYED
QUARTZ,KVARC
QUEEN,KIRÁLYNŐ
QUESTION,KÉRDÉS
QUICKSAND,FÖVENY
QUIET,CSENDES
QUILL,KÖNYVJELZŐ
QUILT,PAPLAN
QUIVER,TEGEZ
RABBIT,NYÚL
RACKET,ÜTŐ
RADIO,RÁDIÓ
RAIL,KORLÁT
RAILWAY,VASÚT
RAIN,ESŐ
RAINBOW,SZIVÁRVÁNY
RAINSTORM,SZÉLVIHAR
RAKE,GEREBLYE
RAM,KOS
RANCH,TANYA
RANGE,HATÓTÁVOLSÁG
RAT,PATKÁNY
RATE,ÉRTÉKELÉS
RAY,SUGÁR
RAZOR,BOROTVA
REACTION,REAKCIÓ
READING,OLVASÁS
REASON,OK
RECEIPT,NYUGTA
RECESS,HÁLÓZAT
RECORD,REKORD
REGRET,MEGBÁNÁS
REINDEER,RÉNSZARVAS
RELATION,KAPCSOLAT
RELIGION,VALLÁS
REPRESENTATIVE,BEMUTATÓ
REQUEST,KÉRÉS
RESPECT,TISZTELET
REST,PIHENÉS
REVOLUTION,FORRADALOM
REWARD,JUTALOM
RHYTHM,RITMUS
RICE,RIZS
RIDDLE,REJTVÉNY
RIFLE,PUSKA
RING,GYŰRŰ
RIP,SZAKÍTÁS
RIVER,FOLYÓ
ROAD,ÚT
ROBIN,RABLÓ
ROBOT,ROBOT
ROCK,SZIKLA
ROD,RÚD
RODEO,VIADAL
ROLL,TEKERCS
ROME,RÓMA
ROOF,TETŐ
ROOM,SZOBA
ROOT,GYÖKÉR
ROPE,KÖTÉL
ROSE,RÓZSA
ROULETTE,RULETT
ROUND,KEREK
ROUTE,ÚTVONAL
ROW,SOR
RUB,KENŐCS
RUBBER,RADÍR
RULE,SZABÁLY
RULER,VONALZÓ
RUN,FUTAM
RUSSIA,OROSZORSZÁG
RUST,ROZSDA
SACK,ZSÁK
SADDLE,NYEREG
SAHARA,SIVATAG
SAIL,VITORLA
SALAD,SALÁTA
SALOON,SZALON
SALSA,SALSA
SALT,SÓ
SAND,HOMOK
SANTA,TÉLAPÓ
SATELLITE,MŰHOLD
SATURN,SZATURNUSZ
SAW,FŰRÉSZ
SCALE,MÉRLEG
SCARECROW,MADÁRIJESZTŐ
SCARF,SÁL
SCENE,HELYSZÍN
SCENT,ILLAT
SCHOOL,ISKOLA
SCIENCE,TUDOMÁNY
SCIENTIST,TUDÓS
SCISSORS,OLLÓ
SCORPION,SKORPIÓ
SCRATCH,KARCOLÁS
SCREEN,KÉPERNYŐ
SCREW,CSAVAROZÁS
SCROLL,PERGAMEN
SCUBA,PIPA
SEA,TENGER
SEAL,FÓKA
SEASHORE,TENGERPART
SEAT,ÜLÉS
SECOND,KÉPMÁS
SECRETARY,TITKÁR
SEED,MAG
SELECTION,KIVÁLASZTÁS
SELF,MAGÁNY
SENSE,ÉRZÉK
SERVANT,SZOLGA
SERVER,PINCÉR
SEX,NEM
SHADE,ALKONYAT
SHADOW,ÁRNYÉK
SHAKE,SZÖRP
SHAKESPEARE,SHAKESPEARE
SHAME,SZÉGYEN
SHAMPOO,SAMPON
SHAPE,ALAK
SHARK,CÁPA
SHED,KUNYHÓ
SHEEP,BIRKA
SHEET,LAP
SHELF,POLC
SHELL,HÉJ
SHERLOCK,SHERLOCK
SHERWOOD,EGER
SHIP,CIRKÁLÓ
SHIRT,ING
SHOCK,SOKK
SHOE,CIPŐ
SHOOT,FELVÉTEL
SHOP,BOLT
SHORTS,RÖVIDNADRÁG
SHOT,LÖVÉS
SHOULDER,VÁLL
SHOW,ELŐADÁS
SHOWER,ZUHANY
